Transmission,Wavelength
0.019121788847962617,730.0
0.021547012544178578,731.0
0.01694733466482979,732.0
0.019167325176030345,733.0
0.024042847727323315,734.0
0.01921307890079816,735.0
0.012111408314667971,736.0
0.01694733466482979,737.0
0.01694733466482979,738.0
0.01702922063263183,739.0
0.016906715183747686,740.0
0.02191217007990534,741.0
0.01698817897316373,742.0
0.02191217007990534,743.0
0.01698817897316373,744.0
0.024452284612451414,745.0
0.019586989571559153,746.0
0.026820567559625485,747.0
0.02457183430950849,748.0
0.02469259716685979,749.0
0.01240895176783205,750.0
0.027284068310562,751.0
0.01749396617505841,752.0
0.019828182615094118,753.0
0.02481451409360495,754.0
0.024875903195248156,755.0
0.029973844655709955,756.0
0.02769428051456035,757.0
0.035035215371662196,758.0
0.03035130697436829,759.0
0.037907460017043745,760.0
0.04316178110004852,761.0
0.037907460017043745,762.0
0.04846950276517944,763.0
0.06696020526502221,764.0
0.07247316838901169,765.0
0.0882038666165382,766.0
0.09572730892740437,767.0
0.1123898897279372,768.0
0.13777685323578864,769.0
0.171986211217616,770.0
0.2089838099490815,771.0
0.2376998255244505,772.0
0.2873015506222608,773.0
0.3239242555771891,774.0
0.36891554050574926,775.0
0.4145854465308537,776.0
0.4806883445862907,777.0
0.5335663179332726,778.0
0.5836024112259238,779.0
0.6357069446506262,780.0
0.6735642764528595,781.0
0.7261336428525537,782.0
0.7654960122500015,783.0
0.8088107615800068,784.0
0.8453825849371378,785.0
0.8711508274745196,786.0
0.898978239332882,787.0
0.9145191964809289,788.0
0.922489881465564,789.0
0.9278448797465177,790.0
0.9405753029561763,791.0
0.9410323857656392,792.0
0.9458837108344945,793.0
0.9456033674900948,794.0
0.9533748718427872,795.0
0.9558498256144473,796.0
0.9483267240607539,797.0
0.9433077846138259,798.0
0.9557348316373055,799.0
0.8870042069140123,800.0
0.921775002732155,801.0
0.9412017840156597,802.0
0.9076045141375024,803.0
0.9167007441768903,804.0
0.920671794742732,805.0
0.9024792188682595,806.0
0.9200319890442236,807.0
0.9286018506502832,808.0
0.9219056088497657,809.0
0.9444676173661993,810.0
0.9236930271703812,811.0
0.9242710611155122,812.0
0.9111450130504055,813.0
0.9117978459040718,814.0
0.9197345799178098,815.0
0.9275668233245973,816.0
0.9420534586596778,817.0
0.9432809441588901,818.0
0.9161133301961861,819.0
0.9370862433654319,820.0
0.9246860275693433,821.0
0.9452232439793964,822.0
0.9520722364608859,823.0
0.9396146923408242,824.0
0.928130605870208,825.0
0.9102866404988299,826.0
0.923591185585393,827.0
0.9304037567245416,828.0
0.9308411498822127,829.0
0.9197804137426958,830.0
0.9325340588846645,831.0
0.9156851481323486,832.0
0.9217092047192247,833.0
0.9345413968820019,834.0
0.9349326671520034,835.0
0.9133194478072959,836.0
0.9310547196296429,837.0
0.909631889435484,838.0
0.937872371318347,839.0
0.9166889483463448,840.0
0.9502909221943913,841.0
0.9508344223012188,842.0
0.9411904396228394,843.0
0.9368627581820451,844.0
0.921894906039122,845.0
0.9484662996122879,846.0
0.9487340523047723,847.0
0.9540942439348062,848.0
0.9403137320973973,849.0
0.9215859522481753,850.0
